Financial Year,Gross Domestic Product (in Rs. Cr) at 2004-05 Prices,Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices,Agriculture (in Rs. Cr.) at 2004-05 Prices,Industry (in Rs. Cr.) at 2004-05 Prices,Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices,Manufacturing (in Rs. Cr.) at 2004-05 Prices,Services (in Rs. Cr.) at 2004-05 Prices,Agri-culture & Allied Services -Share to Total GDP,Agriculture - Share to Total GDP,Industry - Share to Total GDP,Mining and Quarrying - Share to Total GDP,Manufacturing - Share to Total GDP,Services - Share to Total GDP,Gross Domestic Product - % Growth Rate (YoY),Agri-culture & Allied Services - % Growth Rate (YoY),Agriculture - % Growth Rate (YoY),Industry - % Growth Rate (YoY),Mining and Quarrying - % Growth Rate (YoY),Manufacturing - % Growth Rate (YoY),Services - % Growth Rate (YoY)
1951-52,"286,147 ","147,216 ","118,877 ","47,768 ","5,772 ","25,889 ","84,799 ",51.45 ,41.54 ,16.69 ,2.02 ,9.05 ,29.63 ,2.33 ,1.49 ,1.64 ,5.50 ,12.33 ,3.16 ,2.67 
1952-53,"294,267 ","151,859 ","123,822 ","47,739 ","5,905 ","26,789 ","87,438 ",51.61 ,42.08 ,16.22 ,2.01 ,9.10 ,29.71 ,2.84 ,3.15 ,4.16 ,-0.06 ,2.31 ,3.48 ,3.11 
1953-54,"312,177 ","163,553 ","134,958 ","50,409 ","5,993 ","28,863 ","89,940 ",52.39 ,43.23 ,16.15 ,1.92 ,9.25 ,28.81 ,6.09 ,7.70 ,8.99 ,5.59 ,1.50 ,7.74 ,2.86 
1954-55,"325,431 ","168,361 ","138,731 ","54,574 ","6,250 ","30,885 ","94,172 ",51.73 ,42.63 ,16.77 ,1.92 ,9.49 ,28.94 ,4.25 ,2.94 ,2.80 ,8.26 ,4.28 ,7.01 ,4.71 
1955-56,"333,766 ","166,906 ","136,679 ","60,311 ","6,348 ","33,304 ","98,845 ",50.01 ,40.95 ,18.07 ,1.90 ,9.98 ,29.62 ,2.56 ,-0.86 ,-1.48 ,10.51 ,1.58 ,7.83 ,4.96 
1956-57,"352,766 ","175,980 ","144,859 ","65,480 ","6,671 ","35,804 ","103,391 ",49.89 ,41.06 ,18.56 ,1.89 ,10.15 ,29.31 ,5.69 ,5.44 ,5.99 ,8.57 ,5.09 ,7.51 ,4.60 
1957-58,"348,500 ","168,075 ","137,497 ","64,842 ","7,105 ","37,184 ","107,275 ",48.23 ,39.45 ,18.61 ,2.04 ,10.67 ,30.78 ,-1.21 ,-4.49 ,-5.08 ,-0.97 ,6.50 ,3.85 ,3.76 
1958-59,"374,948 ","185,010 ","152,961 ","69,335 ","7,327 ","39,026 ","111,690 ",49.34 ,40.80 ,18.49 ,1.95 ,10.41 ,29.79 ,7.59 ,10.08 ,11.25 ,6.93 ,3.12 ,4.95 ,4.12 
1959-60,"383,153 ","183,147 ","150,730 ","74,081 ","7,704 ","41,676 ","117,232 ",47.80 ,39.34 ,19.33 ,2.01 ,10.88 ,30.60 ,2.19 ,-1.01 ,-1.46 ,6.85 ,5.15 ,6.79 ,4.96 
1960-61,"410,279 ","195,482 ","161,708 ","82,413 ","8,857 ","45,134 ","123,872 ",47.65 ,39.41 ,20.09 ,2.16 ,11.00 ,30.19 ,7.08 ,6.74 ,7.28 ,11.25 ,14.97 ,8.30 ,5.66 
1961-62,"423,011 ","195,647 ","161,187 ","88,006 ","9,367 ","48,988 ","130,511 ",46.25 ,38.10 ,20.80 ,2.21 ,11.58 ,30.85 ,3.10 ,0.08 ,-0.32 ,6.79 ,5.76 ,8.54 ,5.36 
1962-63,"431,960 ","191,755 ","157,727 ","93,996 ","10,479 ","52,554 ","137,883 ",44.39 ,36.51 ,21.76 ,2.43 ,12.17 ,31.92 ,2.12 ,-1.99 ,-2.15 ,6.81 ,11.87 ,7.28 ,5.65 
1963-64,"453,829 ","196,241 ","160,682 ","103,221 ","10,789 ","57,525 ","146,069 ",43.24 ,35.41 ,22.74 ,2.38 ,12.68 ,32.19 ,5.06 ,2.34 ,1.87 ,9.81 ,2.96 ,9.46 ,5.94 
1964-65,"488,247 ","214,343 ","177,284 ","110,195 ","10,945 ","61,503 ","154,472 ",43.90 ,36.31 ,22.57 ,2.24 ,12.60 ,31.64 ,7.58 ,9.22 ,10.33 ,6.76 ,1.44 ,6.91 ,5.75 
1965-66,"470,402 ","190,675 ","153,404 ","114,706 ","12,231 ","62,074 ","158,795 ",40.53 ,32.61 ,24.38 ,2.60 ,13.20 ,33.76 ,-3.65 ,-11.04 ,-13.47 ,4.09 ,11.75 ,0.93 ,2.80 
1966-67,"475,190 ","187,962 ","149,894 ","118,823 ","12,519 ","62,563 ","163,712 ",39.56 ,31.54 ,25.01 ,2.63 ,13.17 ,34.45 ,1.02 ,-1.42 ,-2.29 ,3.59 ,2.36 ,0.79 ,3.10 
1967-68,"513,860 ","215,914 ","175,484 ","122,755 ","12,899 ","62,804 ","169,942 ",42.02 ,34.15 ,23.89 ,2.51 ,12.22 ,33.07 ,8.14 ,14.87 ,17.07 ,3.31 ,3.03 ,0.39 ,3.81 
1968-69,"527,270 ","215,572 ","174,879 ","128,685 ","13,264 ","66,283 ","177,732 ",40.88 ,33.17 ,24.41 ,2.52 ,12.57 ,33.71 ,2.61 ,-0.16 ,-0.35 ,4.83 ,2.83 ,5.54 ,4.58 
1969-70,"561,630 ","229,428 ","187,556 ","138,291 ","13,919 ","73,394 ","186,910 ",40.85 ,33.39 ,24.62 ,2.48 ,13.07 ,33.28 ,6.52 ,6.43 ,7.25 ,7.46 ,4.94 ,10.73 ,5.16 
1970-71,"589,787 ","245,699 ","201,455 ","139,321 ","12,965 ","75,118 ","196,158 ",41.66 ,34.16 ,23.62 ,2.20 ,12.74 ,33.26 ,5.01 ,7.09 ,7.41 ,0.74 ,-6.85 ,2.35 ,4.95 
1971-72,"595,741 ","241,087 ","196,089 ","142,814 ","13,308 ","77,573 ","203,374 ",40.47 ,32.92 ,23.97 ,2.23 ,13.02 ,34.14 ,1.01 ,-1.88 ,-2.66 ,2.51 ,2.64 ,3.27 ,3.68 
1972-73,"593,843 ","228,988 ","185,055 ","148,011 ","14,094 ","80,614 ","209,353 ",38.56 ,31.16 ,24.92 ,2.37 ,13.57 ,35.25 ,-0.32 ,-5.02 ,-5.63 ,3.64 ,5.91 ,3.92 ,2.94 
1973-74,"620,872 ","245,479 ","200,648 ","148,920 ","14,271 ","84,201 ","216,163 ",39.54 ,32.32 ,23.99 ,2.30 ,13.56 ,34.82 ,4.55 ,7.20 ,8.43 ,0.61 ,1.26 ,4.45 ,3.25 
1974-75,"628,079 ","241,740 ","195,119 ","151,024 ","14,979 ","86,655 ","225,076 ",38.49 ,31.07 ,24.05 ,2.38 ,13.80 ,35.84 ,1.16 ,-1.52 ,-2.76 ,1.41 ,4.96 ,2.92 ,4.12 
1975-76,"684,634 ","272,899 ","222,817 ","161,723 ","16,795 ","88,482 ","240,036 ",39.86 ,32.55 ,23.62 ,2.45 ,12.92 ,35.06 ,9.00 ,12.89 ,14.20 ,7.08 ,12.13 ,2.11 ,6.65 
1976-77,"693,191 ","257,131 ","209,266 ","175,745 ","17,391 ","96,242 ","251,164 ",37.09 ,30.19 ,25.35 ,2.51 ,13.88 ,36.23 ,1.25 ,-5.78 ,-6.08 ,8.67 ,3.55 ,8.77 ,4.64 
1977-78,"744,972 ","282,937 ","235,455 ","188,059 ","17,936 ","102,232 ","263,566 ",37.98 ,31.61 ,25.24 ,2.41 ,13.72 ,35.38 ,7.47 ,10.04 ,12.51 ,7.01 ,3.13 ,6.22 ,4.94 
1978-79,"785,965 ","289,452 ","240,148 ","201,012 ","18,423 ","114,859 ","281,161 ",36.83 ,30.55 ,25.58 ,2.34 ,14.61 ,35.77 ,5.50 ,2.30 ,1.99 ,6.89 ,2.71 ,12.35 ,6.68 
1979-80,"745,083 ","252,475 ","208,060 ","194,656 ","18,621 ","111,159 ","287,349 ",33.89 ,27.92 ,26.13 ,2.50 ,14.92 ,38.57 ,-5.20 ,-12.77 ,-13.36 ,-3.16 ,1.08 ,-3.22 ,2.20 
1980-81,"798,506 ","285,015 ","238,102 ","204,861 ","20,891 ","111,376 ","300,614 ",35.69 ,29.82 ,25.66 ,2.62 ,13.95 ,37.65 ,7.17 ,12.89 ,14.44 ,5.24 ,12.19 ,0.19 ,4.62 
1981-82,"843,426 ","298,130 ","249,645 ","221,264 ","23,745 ","120,475 ","316,225 ",35.35 ,29.60 ,26.23 ,2.82 ,14.28 ,37.49 ,5.63 ,4.60 ,4.85 ,8.01 ,13.66 ,8.17 ,5.19 
1982-83,"868,092 ","297,293 ","249,296 ","224,402 ","26,569 ","124,436 ","338,781 ",34.25 ,28.72 ,25.85 ,3.06 ,14.33 ,39.03 ,2.92 ,-0.28 ,-0.14 ,1.42 ,11.89 ,3.29 ,7.13 
